value,gwas.id,gwas.name,instruments
CDKN1A,prot-a-495,Cyclin-dependent kinase inhibitor 1B,1
Calmodulin,prot-a-2218,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A",1
Calmodulin,prot-a-346,Calcium/calmodulin-dependent protein kinase type 1,3
Calmodulin,prot-a-347,Calcium/calmodulin-dependent protein kinase type 1D,3
Calmodulin,prot-a-348,Calcium/calmodulin-dependent protein kinase type II subunit alpha,1
Calmodulin,prot-a-349,Calcium/calmodulin-dependent protein kinase type II subunit beta,1
Calmodulin,prot-a-350,Calcium/calmodulin-dependent protein kinase kinase 1,0
Calmodulin,prot-c-3350_53_2,CAMK2A,0
Calmodulin,prot-c-3351_1_1,CAMK2B,0
Calmodulin,prot-c-3418_12_2,CAMK1D,0
Calmodulin,prot-c-3419_49_2,CAMK2D,0
Calmodulin,prot-c-3592_4_3,CAMK1,0
Calmodulin,prot-c-3877_67_2,CaMKK alpha,0
Calpain,prot-a-354,Calpain-2 catalytic subunit,3
Calpain,prot-c-2668_70_2,Calpain I,0
DCTN6,prot-a-879,Dynactin-associated protein,2
Estrogen Receptors,prot-c-2945_25_1,ER,0
IFI27,prot-a-1426,Interferon alpha/beta receptor 1,1
IL1a,prot-c-4851_25_1,IL-1a,0
LMOD1,prot-a-1759,Leiomodin-1,1
MDM2,prot-a-1873,E3 ubiquitin-protein ligase Mdm2,1
MDM2,prot-c-4245_80_2,MDM2,0
Matrix Metalloproteinase 9,prot-a-1921,Matrix metalloproteinase-9,3
Matrix Metalloproteinase 9,prot-c-2579_17_5,MMP-9,0
PSMD9,prot-a-2416,26S proteasome non-ATPase regulatory subunit 1,1
TNF,prot-a-3029,Tumor necrosis factor,1
estradiol,ieu-b-4872,Oestradiol,1
